iter	AUC	CrossEntropy
0	0.6854024231	0.6904064453
1	0.6934319139	0.6877044922
2	0.696372956	0.6850661458
3	0.6958873272	0.6824789062
4	0.6951588988	0.6799559896
5	0.6943704188	0.6774914714
6	0.6952927411	0.6750661458
7	0.6961932778	0.6727195964
8	0.6960085034	0.6703964193
9	0.6957234442	0.6681279297
10	0.6960462034	0.6659205078
11	0.6957855523	0.6637530599
12	0.6955285072	0.6616332031
13	0.6971744597	0.6595565755
14	0.6976807415	0.65751875
15	0.6986394823	0.6555325521
16	0.6986818016	0.653574349
17	0.6994425356	0.6516999349
18	0.7003055513	0.6498505859
19	0.7006962895	0.6480193359
20	0.7014523447	0.6462276042
21	0.7022121251	0.6444966146
22	0.7028070986	0.642778125
23	0.7035064697	0.6411142578
24	0.7043057084	0.6394974609
25	0.7050428092	0.6378791667
26	0.7054128647	0.6363021484
27	0.7054187357	0.634739974
28	0.7058441937	0.6332298177
29	0.7060758173	0.6317301432
30	0.7063767016	0.6302701172
31	0.7066071332	0.6288427083
32	0.707093209	0.6274440755
33	0.707178086	0.6260520182
34	0.7074351013	0.6247191406
35	0.7076247036	0.6234005859
36	0.7079361975	0.6221041667
37	0.708383441	0.6208516927
38	0.7088083327	0.6196303385
39	0.7089858055	0.6184070964
40	0.7094504535	0.6172279948
41	0.7097766101	0.6160684245
42	0.7101748884	0.6149486328
43	0.7104730904	0.6138246745
44	0.7106479704	0.6127171875
45	0.7109160423	0.6116485677
46	0.7111096084	0.6105863932
47	0.7114938498	0.6095540365
48	0.7116935551	0.6085333333
49	0.7121143043	0.6075520833
50	0.7124907076	0.6065794271
51	0.7127904892	0.605613151
52	0.7129566669	0.6046800781
53	0.71321401	0.6037499349
54	0.7133930326	0.6028413411
55	0.713796258	0.6019652344
56	0.7142088711	0.6011022135
57	0.7143732309	0.6002279948
58	0.7145597339	0.5993742187
59	0.714785099	0.5985485026
60	0.7154293954	0.5977567708
61	0.7154784799	0.596955013
62	0.7157430649	0.5961718099
63	0.7162136137	0.595420638
64	0.7164833844	0.594675651
65	0.7166917622	0.5939245443
66	0.7169120014	0.593191276
67	0.7175278366	0.5925007161
68	0.7178398669	0.5917903646
69	0.7184377313	0.5911217448
70	0.7190705836	0.5904701172
71	0.7191932499	0.5897907552
72	0.7193622887	0.5891220052
73	0.7197090089	0.5884867188
74	0.720100075	0.5878570312
75	0.7207051218	0.5872578776
76	0.7211011052	0.5866571615
77	0.7213608623	0.5860617839
78	0.7220256031	0.5854911458
79	0.7225160897	0.5849125
80	0.7230815887	0.5843488281
81	0.7235165536	0.5837953776
82	0.7238716185	0.5832502604
83	0.7240190506	0.5826992187
84	0.7242845595	0.5821660807
85	0.7244487703	0.5816063802
86	0.7248397768	0.5811001953
87	0.7252473235	0.5806034505
88	0.7255593836	0.580083138
89	0.7257174253	0.5795720703
90	0.7258847356	0.5790776693
91	0.7263022959	0.5786013672
92	0.7268133163	0.5781428385
93	0.7271569967	0.5776755208
94	0.7274113595	0.5772044922
95	0.7278561592	0.5767567708
96	0.7282118201	0.5763049479
97	0.7285277247	0.5758679036
98	0.7288560867	0.5754173828
99	0.7292167246	0.5749945312
100	0.7296380103	0.5745865885
101	0.7299256921	0.5741705078
102	0.7301378846	0.5737586589
103	0.7303755283	0.5733464193
104	0.7307746708	0.5729455729
105	0.7309173346	0.572535026
