iter	Passed	Remaining
0	34	347306
1	69	346024
2	104	348052
3	138	345530
4	173	346068
5	207	345978
6	241	344887
7	275	344709
8	310	344958
9	346	345735
10	380	345915
11	415	345495
12	449	345364
13	483	344689
14	517	344510
15	551	344290
16	586	344435
17	621	344410
18	655	344474
19	689	344063
20	723	343687
21	758	344062
22	793	344349
23	827	344095
24	862	344044
25	895	343599
26	930	343540
27	964	343642
28	998	343325
29	1033	343310
30	1067	343446
31	1102	343410
32	1137	343419
33	1171	343423
34	1205	343326
35	1240	343398
36	1274	343267
37	1309	343207
38	1343	343021
39	1376	342801
40	1410	342724
41	1444	342487
42	1478	342351
43	1512	342324
44	1547	342378
45	1582	342353
46	1617	342437
47	1650	342209
48	1683	341986
49	1717	341877
50	1752	341791
51	1787	341888
52	1820	341749
53	1856	341869
54	1890	341863
55	1925	341919
56	1959	341836
57	1993	341785
58	2028	341848
59	2063	341851
60	2098	341926
61	2134	342069
62	2169	342191
63	2203	342143
64	2237	342048
65	2272	342057
66	2307	342060
67	2341	342005
68	2375	341899
69	2410	341922
70	2444	341857
71	2478	341821
72	2513	341795
73	2548	341803
74	2582	341691
75	2616	341636
76	2650	341592
77	2684	341536
78	2718	341417
79	2752	341332
80	2783	340918
81	2818	340917
82	2852	340855
83	2887	340874
84	2922	340904
85	2956	340852
86	2990	340785
87	3024	340654
88	3058	340645
89	3093	340638
90	3128	340645
91	3159	340272
92	3193	340204
93	3227	340157
94	3262	340113
95	3297	340152
96	3331	340115
97	3365	340058
98	3401	340160
99	3437	340335
100	3473	340391
101	3504	340037
102	3538	340012
103	3572	339905
104	3609	340112
105	3642	340017
106	3676	339900
107	3708	339692
108	3742	339646
109	3778	339686
110	3814	339837
111	3848	339808
112	3887	340114
113	3925	340438
114	3960	340388
115	3995	340486
116	4030	340431
117	4066	340589
118	4100	340511
119	4136	340531
120	4170	340479
121	4201	340184
122	4236	340178
123	4271	340235
124	4302	339929
125	4341	340232
126	4376	340242
127	4412	340282
128	4446	340262
129	4482	340297
130	4515	340182
131	4552	340348
132	4586	340278
133	4620	340224
134	4655	340192
135	4689	340125
136	4724	340117
137	4756	339934
138	4790	339853
139	4828	340067
140	4862	340008
141	4896	339940
142	4931	339956
143	4968	340068
144	5000	339840
145	5034	339784
146	5068	339740
147	5102	339679
148	5138	339709
149	5172	339693
150	5206	339618
151	5240	339545
152	5275	339533
153	5310	339534
154	5348	339689
155	5384	339755
156	5421	339875
157	5455	339845
158	5492	339949
159	5526	339889
160	5561	339874
161	5596	339872
162	5630	339826
163	5666	339825
164	5700	339812
165	5735	339760
166	5770	339792
167	5808	339956
168	5846	340110
169	5881	340067
170	5915	340030
171	5952	340125
172	5987	340104
173	6022	340071
174	6056	340037
175	6091	340015
176	6128	340125
177	6163	340090
178	6197	340052
179	6234	340131
180	6268	340043
181	6305	340166
182	6341	340207
183	6379	340345
184	6414	340337
185	6449	340318
186	6488	340477
187	6522	340426
188	6559	340515
189	6595	340545
190	6630	340512
191	6667	340573
192	6701	340537
193	6742	340821
194	6778	340814
195	6814	340848
196	6849	340849
197	6886	340917
198	6921	340869
199	6955	340832
200	6992	340892
201	7028	340892
202	7064	340952
203	7098	340879
204	7132	340811
205	7166	340719
206	7201	340694
207	7236	340661
208	7274	340771
209	7309	340772
210	7342	340639
211	7378	340663
212	7410	340510
213	7444	340424
214	7479	340402
215	7512	340267
216	7546	340198
217	7580	340155
218	7615	340140
219	7651	340133
220	7686	340111
221	7721	340112
222	7755	340044
223	7789	339965
224	7823	339908
225	7855	339721
226	7892	339795
227	7926	339727
228	7961	339684
229	7995	339614
230	8031	339665
231	8065	339594
232	8099	339524
233	8136	339582
234	8171	339551
235	8205	339473
236	8239	339410
237	8274	339412
238	8309	339370
239	8344	339328
240	8382	339425
241	8419	339475
242	8452	339390
243	8489	339453
244	8527	339547
245	8562	339508
246	8597	339499
247	8632	339461
248	8667	339419
249	8699	339291
250	8734	339247
251	8769	339232
252	8803	339149
253	8837	339079
254	8871	339029
255	8908	339092
256	8943	339065
257	8978	339017
258	9011	338932
259	9045	338874
260	9082	338911
261	9115	338791
262	9151	338832
263	9186	338792
264	9225	338905
265	9265	339047
266	9299	338985
267	9335	339003
268	9369	338941
269	9405	338928
270	9443	339022
271	9477	338961
272	9510	338869
273	9548	338922
274	9584	338925
275	9618	338877
276	9653	338849
277	9685	338708
278	9719	338651
279	9752	338551
280	9786	338496
281	9823	338516
282	9862	338629
283	9898	338646
284	9932	338577
285	9968	338591
286	10003	338539
287	10037	338489
288	10075	338562
289	10111	338572
290	10146	338516
291	10180	338455
292	10213	338359
293	10246	338282
294	10280	338217
295	10313	338115
296	10348	338073
297	10384	338085
298	10417	338006
299	10453	338002
300	10489	338001
301	10522	337916
302	10556	337858
303	10594	337921
304	10628	337856
305	10662	337774
306	10696	337732
307	10732	337737
308	10766	337670
309	10801	337622
310	10834	337557
311	10866	337423
312	10900	337365
313	10938	337421
314	10971	337323
315	11008	337353
316	11043	337330
317	11077	337285
318	11112	337235
319	11146	337169
320	11180	337120
321	11216	337108
322	11253	337154
323	11288	337130
324	11323	337089
325	11359	337089
326	11397	337149
327	11432	337127
328	11466	337068
329	11500	337012
330	11535	336980
331	11569	336922
332	11604	336884
333	11639	336843
334	11672	336762
335	11706	336707
336	11741	336672
337	11777	336656
338	11811	336620
339	11849	336662
340	11884	336646
341	11921	336647
342	11956	336641
343	11992	336626
344	12028	336630
345	12063	336590
346	12097	336541
347	12134	336544
348	12170	336565
349	12207	336588
350	12245	336619
351	12278	336546
352	12313	336508
353	12347	336448
354	12383	336434
355	12417	336380
356	12453	336381
357	12486	336286
358	12519	336214
359	12554	336184
360	12588	336114
361	12623	336097
362	12659	336090
363	12694	336044
364	12729	336023
365	12763	335964
366	12795	335846
367	12826	335727
368	12860	335669
369	12897	335681
370	12932	335645
371	12969	335668
