,feature,fold_1,fold_2,fold_3,fold_4,fold_5,average
0,bin_0,0.031557694436078726,0.08155686570115575,0.028574658424839233,0.040874960370275444,0.04530195597713797,0.04557322698189742
1,bin_1,3.4562558864864963,3.1859907313902154,3.4093304862478275,3.423576662123909,3.3550802911536564,3.366046811480421
2,bin_2,0.3883235159842502,0.40785820410744383,0.3733467242993544,0.39120068861023444,0.36969929134184804,0.38608568486862616
3,bin_3,0.2794894352260062,0.3022244859617825,0.30781637764665404,0.2668556966455536,0.2643965809288743,0.2841565152817741
4,bin_4,1.1786000494719653,1.1226930247819107,1.2035521677147845,1.1868305562348898,1.0977811821148389,1.1578913960636779
5,nom_0,4.445663735510445,4.3566458687846605,4.255956121981682,4.343522334164675,4.3565806432245875,4.35167374073321
6,nom_1,2.7835996065696498,2.7281770124301774,2.911218760999549,2.708792704481704,2.7168675027458233,2.7697311174453807
7,nom_2,2.6914741754102476,2.7061181411457644,2.7602631180388095,2.6573108174694897,2.8797423703893865,2.7389817244907397
8,nom_3,2.85560961998402,3.0303468221004892,2.833866304610716,2.807559298140654,2.8889784782032977,2.883272104607835
9,nom_4,3.7499241085135044,3.8302162737067578,3.6581805166063965,3.545289665023195,3.730204333496393,3.7027629794692496
10,nom_5,5.800602125891133,6.022701985808276,5.834413759157436,5.975589325860834,5.826297172982498,5.891920873940036
11,nom_6,5.450644692295361,5.394150964348138,5.4285373170132605,5.308818514784341,5.402416480226405,5.396913593733501
12,nom_7,5.2200407626227125,5.4967147512738945,5.124720592519306,4.87213206142626,5.114908083282461,5.165703250224928
13,nom_8,4.641291443193292,4.7925730349026745,4.600337719868235,4.77580083067986,4.91493912234053,4.744988430196918
14,nom_9,2.964480447280536,3.081924739851739,2.867517212783392,2.8039942488890035,3.1520438814161227,2.9739921060441583
15,ord_0,3.1730933933368015,3.1704458472254835,3.140530239995418,3.1553719058336447,3.2007542289935413,3.1680391230769778
16,day_sin,1.0207169978604607,1.0975734286991747,1.0244363446373295,1.0552092646943887,1.062644412512748,1.0521160896808204
17,day_cos,1.853783391138567,1.6459537610857895,1.7139160115712122,1.6579991623864676,1.6830596012068406,1.7109423854777752
18,month_sin,3.6277777814396543,3.6659602324564284,3.7894158628005656,3.7745900753530615,3.499981051331026,3.671545000676147
19,month_cos,1.5070894237305026,1.5366265839007498,1.5493324591151014,1.5328275443581483,1.4759415052213678,1.5203635032651739
20,ord_1_count,1.4891566583013498,0.9607552672701187,1.1337764782543045,1.2520483497555943,1.0327085713923965,1.173689064994753
21,ord_1_oe,6.198801709676768,6.271309310730991,6.469283845820851,6.405746848649928,6.46492687592788,6.3620137181612835
22,ord_2_oe,8.510223102525725,8.314709323927799,8.604842402863648,8.735454361823171,8.603878935794288,8.553821625386925
23,ord_3_oe,7.3943882238521415,7.192371992970884,7.400487366227005,7.634897685009414,7.335493153485881,7.391527684309065
24,ord_4_oe,9.909968594667768,9.687561186750035,9.88064263998309,10.046932253430658,9.78643943409801,9.862308821785913
25,ord_5_oe_add,9.377443424594821,9.916840158687922,9.695704510817931,9.640774183800422,9.73893486021236,9.673939427622692
